reg_number,full_name,email
BU/ECS/2022/001,Okello Martin,okello.m@soroti.ac.ug
BU/ECS/2022/014,Auma Grace,auma.g@soroti.ac.ug
BU/ECS/2023/003,Mukasa Ivan,mukasa.i@soroti.ac.ug
BU/ECS/2023/021,Namutebi Sarah,namutebi.s@soroti.ac.ug
BU/ECS/2021/007,Omona James,omona.j@soroti.ac.ug
BU/ECS/2024/002,Atim Faith,atim.f@soroti.ac.ug
BU/ECS/2024/011,Okwir Peter,okwir.p@soroti.ac.ug
BU/ECS/2022/029,Akello Linda,akello.l@soroti.ac.ug
BU/ECS/2023/045,Tumwine Brian,tumwine.b@soroti.ac.ug
BU/ECS/2023/033,Nakato Diana,nakato.d@soroti.ac.ug
BU/ECS/2024/018,Ssemakula Paul,ssemakula.p@soroti.ac.ug
BU/ECS/2022/056,Among Esther,among.e@soroti.ac.ug
BU/ECS/2021/019,Ocen Denis,ocen.d@soroti.ac.ug
BU/ECS/2024/007,Wasswa Joseph,wasswa.j@soroti.ac.ug
BU/ECS/2023/008,Nabirye Hadijah,nabirye.h@soroti.ac.ug
BU/ECS/2022/041,Kato Samuel,kato.s@soroti.ac.ug
BU/ECS/2023/012,Mbabazi Ruth,mbabazi.r@soroti.ac.ug
BU/ECS/2024/025,Odongo Felix,odongo.f@soroti.ac.ug
BU/ECS/2022/038,Asio Mercy,asio.m@soroti.ac.ug
BU/ECS/2023/050,Byaruhanga Innocent,byaruhanga.i@soroti.ac.ug
BU/ECS/2024/030,Adong Stella,adong.s@soroti.ac.ug
BU/ECS/2022/067,Ekaju Emmanuel,ekaju.e@soroti.ac.ug
BU/ECS/2023/039,Apio Judith,apio.j@soroti.ac.ug
BU/ECS/2024/015,Mugisha David,mugisha.d@soroti.ac.ug
BU/ECS/2021/025,Obura Patrick,obura.p@soroti.ac.ug
